iter	Logloss
0	0.6716252293
1	0.6522901477
2	0.6338651024
3	0.6148387266
4	0.5975736277
5	0.5806088539
6	0.5650632549
7	0.5522929972
8	0.5365919718
9	0.5229511638
10	0.5085092621
11	0.4952371147
12	0.4827995639
13	0.4716140029
14	0.4600522428
15	0.4493820081
16	0.4400572749
17	0.4313503776
18	0.4213591287
19	0.4132768788
20	0.403587533
21	0.3955992506
22	0.3868417594
23	0.377945182
24	0.3699162592
25	0.3619877623
26	0.3550653853
27	0.348055446
28	0.3421011864
29	0.3361237574
30	0.3313556444
31	0.3262677162
32	0.3205300054
33	0.3160645702
34	0.3118485749
35	0.3075450188
36	0.3031726525
37	0.2981882231
38	0.2944620381
39	0.2901205855
40	0.2865395087
41	0.2832922347
42	0.279802671
43	0.2761460328
44	0.2723435168
45	0.2693804901
46	0.2660761456
47	0.2632462782
48	0.2601783751
49	0.2574759998
50	0.2549331094
51	0.2519251331
52	0.2497044108
53	0.2470699923
54	0.2448846487
55	0.2423527147
56	0.2400588029
57	0.2381851747
58	0.2365336783
59	0.2345249759
60	0.2322710243
61	0.2299170434
62	0.2282675457
63	0.2264816505
64	0.2248590807
65	0.2228835709
66	0.2215763727
67	0.2202720091
68	0.2186353123
69	0.2166722347
70	0.2146389965
71	0.2129601344
72	0.2118490774
73	0.2103642326
74	0.2086793448
75	0.2074641766
76	0.2058944381
77	0.204642726
78	0.2036346125
79	0.2021438658
80	0.2009904879
81	0.1994922345
82	0.1982045897
83	0.1967366506
84	0.1957304001
85	0.1943359867
86	0.1932432767
87	0.1923534198
88	0.1911166443
89	0.1903155705
90	0.1894403121
91	0.18852653
92	0.1874673659
93	0.1865568155
94	0.1853552443
95	0.1842240225
96	0.1831543695
97	0.1820894995
98	0.1811787222
99	0.1804313566
100	0.1797885962
101	0.1790204353
102	0.1781491968
103	0.177426044
104	0.1767693151
105	0.1757752208
106	0.17510603
107	0.1743429774
108	0.1736977484
109	0.1730533144
110	0.1724048185
111	0.1716079938
112	0.170803774
113	0.1701231975
114	0.1694418943
115	0.1687181444
116	0.1681605365
117	0.1675833365
118	0.1669019512
119	0.1662812374
120	0.1655301762
121	0.1646994487
122	0.1640189495
123	0.1633857038
124	0.1625977933
125	0.1619559524
126	0.1614209033
127	0.1609209821
128	0.160195912
129	0.1597568025
130	0.1592355569
131	0.1586428487
132	0.1580142917
133	0.1575657192
134	0.1570346515
135	0.1566279497
136	0.1560502109
137	0.1555957442
138	0.1551149959
139	0.154766571
140	0.1541825086
141	0.1536149426
142	0.1529771413
143	0.1523581592
144	0.151971108
145	0.1514325408
146	0.1510467577
147	0.1507093608
148	0.1503015919
149	0.1497784219
150	0.1493346502
151	0.1489389757
152	0.1483242499
153	0.1479460713
154	0.1475055193
155	0.1471351673
156	0.1467290349
157	0.1462279586
158	0.1459386632
159	0.1455674138
160	0.1451741065
161	0.1446185277
162	0.1442771978
163	0.1439164957
164	0.1435626147
165	0.1432902333
166	0.1430523028
167	0.1427139145
168	0.1423886937
169	0.1419396312
170	0.1415165857
171	0.141192393
172	0.1406009808
173	0.1402489571
174	0.1398593076
175	0.1394237549
176	0.1391744313
177	0.1387105063
178	0.1384372717
179	0.137954826
180	0.1376298616
181	0.1374010933
182	0.1370589922
183	0.1368160934
184	0.1365460379
185	0.1361049193
186	0.1357773503
187	0.1354504849
188	0.1350817489
189	0.1348278046
190	0.1346377465
191	0.1343552377
192	0.1340458472
193	0.1337168454
194	0.1335434863
195	0.1333377582
196	0.1330625158
197	0.1328408784
198	0.1325609367
199	0.132218153
200	0.1318936422
201	0.1316938213
202	0.1314460021
203	0.1311920747
204	0.1308881282
205	0.1305552105
206	0.1303096726
207	0.1299348637
208	0.1296481938
209	0.1294422396
210	0.1292481155
211	0.1289908303
212	0.1288719017
213	0.1285149576
214	0.1282117173
215	0.1279514179
216	0.1278131415
217	0.1277055877
218	0.127310957
219	0.1270187459
220	0.1267710761
221	0.1266417374
222	0.1263099123
223	0.1260717235
224	0.1258149437
225	0.1255250435
226	0.1253381957
227	0.1252154599
228	0.1249498559
229	0.1248503464
230	0.1245273883
231	0.1243013237
232	0.1241151736
233	0.1238922964
234	0.1236612889
235	0.1235348846
236	0.1231599976
237	0.1229984178
238	0.1227556122
239	0.1226429977
240	0.1225075368
241	0.1224031999
242	0.1221918163
243	0.1220969131
244	0.1219557753
245	0.1217786503
246	0.1216675631
247	0.1213883345
248	0.1211586474
249	0.1209079148
250	0.1207187174
251	0.1205677137
252	0.1202052163
253	0.1199956894
254	0.1198936177
255	0.11975515
256	0.1194697686
257	0.1192848768
258	0.1191282369
259	0.1188801405
260	0.1188005431
261	0.118594544
262	0.1185522065
263	0.118487711
264	0.1183180846
265	0.1181205886
266	0.118038375
267	0.117961631
268	0.1177760997
269	0.1176398212
270	0.1175928176
271	0.1173866414
272	0.1173239547
273	0.1172139784
274	0.1170097018
275	0.1169347228
276	0.1168264653
277	0.1167016605
278	0.1165844814
279	0.1164826111
280	0.1164095972
281	0.1162764271
282	0.1160220934
283	0.1157598754
284	0.1155633485
285	0.115403125
286	0.1151793954
287	0.1149734375
288	0.1148678668
289	0.1145852978
290	0.1144578588
291	0.1143392391
292	0.1142147498
293	0.1140218971
294	0.1138823133
295	0.1138048004
296	0.1135729477
297	0.1135094489
298	0.1133657933
299	0.1131418041
300	0.1129593641
301	0.1126788495
302	0.1124812492
303	0.1122626489
304	0.1121434436
305	0.1120524517
306	0.1119817845
307	0.1117448159
308	0.1115491464
309	0.1114885234
310	0.1112923736
311	0.1111189013
312	0.1109088991
313	0.1108028275
314	0.110608258
315	0.110477176
316	0.1103888702
317	0.1102359998
318	0.1101547925
319	0.1099922143
320	0.1099398661
321	0.1098421575
322	0.1097761234
323	0.1095708444
324	0.1094491837
325	0.1092638326
326	0.1090294556
327	0.1089115643
328	0.1087021073
329	0.1086420741
330	0.1085659937
331	0.1085090404
332	0.1083637077
333	0.1083112166
334	0.108259931
335	0.1080389984
336	0.1079701445
337	0.1078401396
338	0.1076826742
339	0.1075345268
340	0.1074482919
341	0.1073559413
342	0.1071736286
343	0.1070999694
344	0.1069667746
345	0.1069003738
346	0.1068254022
347	0.1066955873
348	0.1065333381
349	0.106461117
350	0.1063995683
351	0.1061133281
352	0.1059005533
353	0.105841812
354	0.1057777302
355	0.1057095449
356	0.1055456941
357	0.105425753
358	0.1052746736
359	0.1052129598
360	0.1050112665
361	0.1049593141
362	0.1048912185
363	0.1048088832
364	0.1047437123
365	0.104567469
366	0.1045046076
367	0.1044413365
368	0.1043838078
369	0.1042859094
370	0.1042154194
371	0.104125504
372	0.104031203
373	0.1038724075
374	0.1038224854
375	0.1037703857
376	0.1035175752
377	0.1034436533
378	0.1032771575
379	0.1031953374
380	0.1031266162
381	0.1030601556
382	0.1029963387
383	0.1029316901
384	0.1028120005
385	0.1025304485
386	0.1023339449
387	0.1022255759
388	0.101998935
389	0.1019247493
390	0.1018709101
391	0.1018157333
392	0.1016199163
393	0.1015047408
394	0.1013467248
395	0.1012920828
396	0.1012308
397	0.1010783581
398	0.1010107005
399	0.1007965611
400	0.1007399314
401	0.1006765025
402	0.1005585444
403	0.1004658716
404	0.1003991036
405	0.1003275039
406	0.1002251567
407	0.1001595738
408	0.1000957994
409	0.1000300784
410	0.09997269586
411	0.09991161974
412	0.09984767744
413	0.09978939419
414	0.09960435125
415	0.09944172008
416	0.09938415441
417	0.09932081044
418	0.09926401145
419	0.09904477912
420	0.09898671034
421	0.09869703437
422	0.09863493349
423	0.09857658743
