iter	Passed	Remaining
0	206	206266
1	261	130463
2	320	106508
3	380	94759
4	435	86598
5	487	80713
6	542	76955
7	596	74017
8	656	72301
9	714	70747
10	778	69957
11	837	68943
12	897	68105
13	956	67347
14	1013	66520
15	1068	65707
16	1127	65208
17	1185	64649
18	1238	63951
19	1298	63614
20	1356	63237
21	1412	62778
22	1469	62411
23	1526	62069
24	1579	61596
25	1633	61187
26	1690	60927
27	1746	60618
28	1802	60361
29	1859	60137
30	1915	59879
31	1970	59610
32	2027	59421
33	2080	59110
34	2139	58977
35	2194	58775
36	2248	58510
37	2306	58391
38	2360	58157
39	2416	57992
40	2472	57840
41	2529	57696
42	2582	57484
43	2637	57297
44	2700	57315
45	2753	57105
46	2809	56970
47	2865	56831
48	2921	56708
49	2980	56624
50	3035	56479
51	3095	56430
52	3150	56291
53	3206	56164
54	3265	56099
55	3321	55987
56	3373	55805
57	3428	55682
58	3483	55555
59	3540	55469
60	3600	55423
61	3678	55646
62	3744	55685
63	3799	55570
64	3853	55437
65	3909	55331
66	3963	55197
67	4023	55140
68	4077	55015
69	4138	54976
70	4193	54864
71	4245	54717
72	4301	54628
73	4352	54469
74	4408	54374
75	4461	54248
76	4515	54127
77	4572	54050
78	4631	53997
79	4693	53977
80	4756	53968
81	4814	53903
82	4872	53828
83	4929	53752
84	4990	53724
85	5050	53679
86	5105	53582
87	5159	53470
88	5215	53386
89	5269	53276
90	5326	53205
91	5382	53121
92	5441	53069
93	5497	52988
94	5553	52906
95	5612	52854
96	5668	52773
97	5722	52669
98	5777	52582
99	5831	52481
100	5887	52402
101	5940	52298
102	5999	52245
103	6052	52141
104	6104	52032
105	6160	51960
106	6220	51911
107	6275	51827
108	6330	51750
109	6384	51657
110	6440	51579
111	6495	51503
112	6552	51431
113	6615	51412
114	6670	51333
115	6730	51287
116	6788	51229
117	6844	51159
118	6900	51086
119	6952	50982
120	7003	50880
121	7064	50842
122	7121	50773
123	7178	50710
124	7231	50621
125	7286	50543
126	7346	50496
127	7401	50424
128	7455	50340
129	7509	50254
130	7561	50157
131	7619	50107
132	7681	50072
133	7734	49986
134	7787	49898
135	7849	49868
136	7906	49803
137	7961	49729
138	8019	49674
139	8071	49580
140	8127	49517
141	8180	49429
142	8234	49351
143	8296	49320
144	8357	49280
145	8419	49246
146	8482	49219
147	8540	49164
148	8606	49153
149	8665	49103
150	8723	49045
151	8780	48985
152	8837	48924
153	8893	48857
154	8950	48796
155	9008	48740
156	9065	48679
157	9136	48691
158	9200	48665
159	9263	48633
160	9319	48567
161	9372	48482
162	9424	48396
163	9470	48275
164	9518	48169
165	9563	48048
166	9612	47948
167	9660	47842
168	9705	47725
169	9752	47615
170	9797	47497
171	9842	47381
172	9887	47265
173	9932	47149
174	9977	47035
175	10022	46921
176	10067	46810
177	10112	46697
178	10157	46588
179	10204	46486
180	10249	46375
181	10293	46264
182	10340	46163
183	10388	46069
184	10436	45975
185	10481	45870
186	10526	45764
187	10571	45661
188	10624	45589
189	10669	45487
190	10715	45387
191	10760	45284
192	10806	45183
193	10850	45081
194	10896	44982
195	10941	44883
196	10988	44789
197	11033	44692
198	11079	44596
199	11125	44502
200	11170	44403
201	11216	44309
202	11262	44217
203	11307	44120
204	11352	44024
205	11398	43935
206	11444	43841
207	11489	43748
208	11534	43654
209	11582	43572
210	11628	43482
211	11674	43393
212	11719	43302
213	11764	43211
214	11811	43127
215	11857	43037
216	11902	42949
217	11948	42859
218	11995	42777
219	12040	42689
220	12085	42600
221	12130	42511
222	12175	42424
223	12220	42335
224	12265	42248
225	12312	42168
226	12358	42082
227	12403	41997
228	12448	41911
229	12494	41829
230	12540	41747
231	12588	41673
232	12643	41621
233	12689	41539
234	12735	41456
235	12784	41388
236	12833	41315
237	12878	41231
238	12923	41150
239	12969	41069
240	13014	40988
241	13059	40905
242	13105	40825
243	13149	40743
244	13195	40662
245	13240	40582
246	13285	40502
247	13331	40423
248	13376	40343
249	13421	40265
250	13467	40187
251	13513	40111
252	13560	40037
253	13607	39965
254	13652	39887
255	13698	39810
256	13744	39736
257	13790	39660
258	13835	39583
259	13880	39506
260	13925	39430
261	13971	39354
262	14016	39277
263	14061	39202
264	14107	39127
265	14152	39052
266	14197	38977
267	14244	38905
268	14289	38830
269	14336	38761
270	14381	38685
271	14427	38614
272	14472	38540
273	14521	38476
274	14568	38408
275	14614	38336
276	14659	38264
277	14705	38192
278	14752	38124
279	14797	38051
280	14852	38004
281	14899	37934
282	14944	37861
283	14990	37792
284	15035	37720
285	15080	37648
286	15125	37577
287	15174	37513
288	15219	37442
289	15264	37371
290	15308	37298
291	15354	37229
292	15399	37159
293	15445	37090
294	15490	37019
295	15536	36951
296	15585	36891
297	15634	36829
298	15679	36760
299	15724	36690
300	15769	36621
301	15815	36553
302	15860	36483
303	15905	36414
304	15950	36345
305	15997	36281
306	16042	36212
307	16087	36143
308	16132	36077
309	16178	36009
310	16223	35941
311	16269	35877
312	16317	35815
313	16363	35748
314	16408	35681
315	16453	35614
316	16498	35547
317	16547	35487
318	16592	35421
319	16638	35355
320	16683	35290
321	16729	35225
322	16776	35162
323	16821	35096
324	16866	35030
325	16911	34963
326	16956	34897
327	17003	34835
328	17048	34769
329	17092	34703
330	17138	34638
331	17183	34573
332	17227	34506
333	17273	34443
334	17318	34378
335	17364	34314
336	17408	34249
337	17456	34189
338	17501	34125
339	17550	34068
340	17604	34021
341	17652	33962
342	17697	33898
343	17741	33833
344	17793	33781
345	17838	33717
346	17883	33653
347	17928	33589
348	17973	33526
349	18019	33463
350	18064	33401
351	18110	33339
352	18155	33276
353	18201	33214
354	18246	33152
355	18293	33092
356	18337	33028
357	18382	32965
358	18428	32904
359	18474	32842
360	18519	32781
361	18569	32727
362	18615	32666
363	18660	32603
364	18705	32542
365	18750	32481
366	18795	32418
367	18840	32357
368	18885	32295
369	18930	32233
370	18975	32172
371	19020	32110
372	19065	32048
373	19111	31988
374	19156	31927
375	19201	31866
376	19246	31805
377	19292	31745
378	19337	31684
379	19382	31624
380	19428	31564
381	19477	31510
382	19525	31454
383	19573	31399
384	19619	31339
385	19664	31280
386	19711	31221
387	19756	31162
388	19801	31102
389	19847	31043
390	19892	30983
391	19937	30923
392	19982	30864
393	20027	30804
394	20072	30743
395	20118	30685
396	20164	30627
397	20209	30568
398	20254	30508
399	20300	30451
400	20347	30393
401	20394	30338
402	20442	30283
403	20487	30224
404	20535	30169
405	20582	30113
406	20627	30055
407	20673	29996
408	20717	29936
409	20763	29878
410	20808	29820
411	20852	29760
412	20897	29702
413	20943	29644
414	20990	29588
415	21035	29530
416	21080	29472
417	21126	29414
418	21171	29357
419	21219	29302
420	21264	29245
421	21310	29188
422	21356	29131
423	21401	29073
424	21446	29016
425	21492	28959
426	21542	28908
427	21588	28851
428	21633	28794
429	21678	28736
430	21724	28680
431	21771	28625
432	21816	28568
433	21860	28509
434	21906	28453
435	21953	28398
436	21998	28341
437	22043	28283
438	22088	28226
439	22133	28169
440	22178	28112
441	22222	28055
442	22269	28000
443	22315	27944
444	22360	27887
445	22415	27843
446	22461	27787
447	22509	27734
448	22554	27678
449	22609	27634
450	22655	27578
451	22701	27522
452	22750	27471
453	22796	27416
454	22841	27359
455	22886	27303
456	22931	27246
457	22976	27190
458	23020	27133
459	23066	27077
460	23111	27022
461	23156	26966
462	23201	26909
463	23245	26853
464	23290	26796
465	23335	26740
466	23380	26684
467	23426	26629
468	23472	26575
469	23522	26525
470	23567	26469
471	23612	26414
472	23657	26358
473	23705	26305
474	23750	26250
475	23795	26195
476	23840	26139
477	23885	26084
478	23930	26028
479	23975	25973
480	24021	25918
481	24065	25863
482	24110	25808
483	24156	25753
484	24201	25698
485	24262	25659
486	24307	25605
487	24353	25551
488	24400	25497
489	24448	25446
490	24497	25395
491	24542	25341
492	24588	25287
493	24634	25232
494	24679	25178
495	24726	25125
496	24771	25070
497	24815	25015
498	24860	24959
499	24904	24904
500	24950	24850
501	24995	24795
502	25039	24741
503	25085	24687
504	25133	24635
505	25178	24581
506	25223	24527
507	25269	24473
508	25314	24419
509	25360	24365
510	25406	24312
511	25451	24258
512	25501	24209
513	25547	24155
514	25594	24103
515	25639	24049
516	25684	23995
517	25730	23942
518	25775	23888
519	25820	23834
520	25866	23781
521	25911	23727
522	25958	23675
523	26003	23621
524	26048	23567
525	26093	23514
526	26139	23460
527	26184	23407
528	26230	23354
529	26277	23302
530	26323	23249
531	26368	23196
532	26413	23142
533	26459	23090
534	26508	23039
535	26553	22986
536	26598	22933
537	26643	22879
538	26688	22826
539	26735	22774
540	26780	22721
541	26824	22667
542	26869	22614
543	26914	22560
544	26960	22507
545	27005	22455
546	27050	22402
547	27095	22349
548	27141	22296
549	27186	22243
550	27231	22190
551	27276	22137
552	27320	22084
553	27366	22031
554	27414	21980
555	27459	21928
556	27507	21877
557	27559	21830
558	27607	21779
559	27652	21726
560	27698	21674
561	27749	21626
562	27794	21574
563	27839	21521
564	27884	21468
565	27930	21416
566	27976	21364
567	28021	21311
568	28066	21259
569	28111	21207
570	28156	21154
571	28201	21101
572	28247	21050
573	28293	20997
574	28338	20945
575	28383	20893
576	28429	20841
577	28478	20792
578	28526	20741
579	28571	20689
580	28617	20637
581	28661	20585
582	28707	20533
583	28752	20481
584	28797	20428
585	28841	20376
586	28890	20326
587	28938	20276
588	28983	20224
589	29027	20171
590	29072	20119
591	29117	20067
592	29162	20015
593	29207	19963
594	29252	19911
595	29298	19860
596	29350	19813
597	29398	19762
598	29446	19712
599	29495	19663
600	29539	19611
601	29585	19560
602	29631	19508
603	29676	19456
604	29721	19405
605	29767	19353
606	29812	19302
607	29858	19250
608	29903	19198
609	29947	19146
610	29993	19095
611	30038	19043
612	30084	18992
613	30129	18941
614	30174	18889
615	30219	18838
616	30266	18787
617	30315	18738
618	30361	18687
619	30406	18635
620	30453	18586
621	30499	18535
622	30547	18485
623	30592	18433
624	30637	18382
625	30681	18330
626	30727	18279
627	30772	18228
628	30817	18177
629	30863	18126
630	30909	18075
631	30954	18024
632	31000	17973
633	31046	17922
634	31091	17871
635	31137	17820
636	31184	17770
637	31229	17719
638	31275	17668
639	31320	17617
640	31365	17566
641	31410	17515
642	31459	17466
643	31506	17416
644	31551	17365
645	31597	17314
646	31643	17264
647	31690	17214
648	31735	17163
649	31780	17112
650	31825	17061
651	31871	17011
652	31916	16960
653	31964	16910
654	32008	16859
655	32054	16809
656	32099	16758
657	32144	16707
658	32189	16656
659	32236	16606
660	32281	16555
661	32326	16505
662	32373	16455
663	32418	16404
664	32467	16355
665	32513	16305
666	32567	16259
667	32611	16208
668	32656	16157
669	32705	16108
670	32751	16058
671	32796	16007
672	32841	15957
673	32886	15906
674	32931	15855
675	32976	15805
676	33022	15755
677	33067	15704
678	33112	15654
679	33158	15603
680	33203	15553
681	33247	15502
682	33292	15452
683	33338	15401
684	33383	15351
685	33430	15302
686	33477	15252
687	33523	15202
688	33570	15152
689	33615	15102
690	33661	15052
691	33707	15002
692	33752	14952
693	33797	14901
694	33841	14851
695	33886	14801
696	33932	14751
697	33978	14701
698	34023	14651
699	34069	14601
700	34115	14551
701	34160	14500
702	34204	14450
703	34251	14401
704	34295	14350
705	34340	14300
706	34386	14250
707	34438	14203
708	34483	14153
709	34529	14103
710	34575	14053
711	34619	14003
712	34666	13953
713	34711	13904
714	34756	13854
715	34801	13803
716	34847	13754
717	34891	13704
718	34936	13653
719	34981	13603
720	35027	13554
721	35073	13504
722	35118	13454
723	35163	13404
724	35209	13355
725	35253	13305
726	35298	13255
727	35344	13205
728	35389	13155
729	35438	13107
730	35483	13057
731	35530	13008
732	35575	12958
733	35621	12908
734	35665	12858
735	35710	12809
736	35755	12759
737	35800	12709
738	35845	12659
739	35892	12610
740	35937	12561
741	35982	12511
742	36027	12461
743	36072	12412
744	36118	12362
745	36162	12312
746	36210	12264
747	36257	12215
748	36302	12165
749	36347	12115
750	36393	12066
751	36440	12017
752	36486	11968
753	36532	11919
754	36577	11869
755	36622	11820
756	36669	11771
757	36715	11721
758	36759	11672
759	36804	11622
760	36849	11573
761	36895	11523
762	36940	11474
763	36986	11425
764	37031	11375
765	37076	11326
766	37121	11276
767	37167	11227
768	37212	11178
769	37257	11128
770	37303	11079
771	37349	11030
772	37396	10982
773	37446	10933
774	37491	10884
775	37545	10837
776	37590	10788
777	37635	10739
778	37684	10690
779	37730	10641
780	37775	10592
781	37820	10543
782	37865	10494
783	37910	10444
784	37955	10395
785	38000	10346
786	38046	10297
787	38091	10247
788	38136	10198
789	38182	10149
790	38230	10101
791	38275	10052
792	38321	10003
793	38367	9954
794	38415	9905
795	38462	9857
796	38507	9807
797	38552	9758
798	38598	9709
799	38644	9661
800	38689	9612
801	38734	9562
802	38779	9513
803	38825	9464
804	38870	9415
805	38915	9366
806	38960	9317
807	39006	9268
808	39050	9219
809	39096	9170
810	39142	9121
811	39186	9072
812	39231	9023
813	39277	8974
814	39323	8926
815	39369	8877
816	39420	8829
817	39466	8781
818	39511	8732
819	39556	8683
820	39601	8634
821	39647	8585
822	39692	8536
823	39737	8487
824	39782	8438
825	39828	8390
826	39873	8341
827	39917	8292
828	39962	8243
829	40007	8194
830	40053	8145
831	40098	8096
832	40144	8048
833	40302	8021
834	40379	7979
835	40425	7930
836	40470	7881
837	40517	7832
838	40562	7783
839	40607	7734
840	40651	7685
841	40696	7636
842	40741	7587
843	40786	7538
844	40831	7489
845	40879	7441
846	40924	7392
847	40969	7343
848	41013	7294
849	41059	7245
850	41104	7196
851	41150	7148
852	41195	7099
853	41241	7050
854	41286	7001
855	41331	6953
856	41379	6904
857	41425	6855
858	41470	6807
859	41515	6758
860	41560	6709
861	41605	6660
862	41652	6612
863	41696	6563
864	41741	6514
865	41786	6465
866	41831	6417
867	41876	6368
868	41922	6319
869	41967	6270
870	42011	6222
871	42056	6173
872	42102	6124
873	42147	6076
874	42194	6027
875	42239	5979
876	42284	5930
877	42332	5882
878	42380	5834
879	42427	5785
880	42489	5739
881	42539	5691
882	42584	5642
883	42632	5594
884	42680	5546
885	42725	5497
886	42770	5448
887	42815	5400
888	42861	5351
889	42906	5303
890	42952	5254
891	42997	5206
892	43042	5157
893	43087	5108
894	43132	5060
895	43177	5011
896	43223	4963
897	43268	4914
898	43314	4866
899	43362	4818
900	43408	4769
901	43453	4721
902	43499	4672
903	43544	4624
904	43589	4575
905	43636	4527
906	43681	4478
907	43726	4430
908	43772	4382
909	43817	4333
910	43862	4285
911	43907	4236
912	43952	4188
913	43997	4139
914	44041	4091
915	44087	4042
916	44132	3994
917	44180	3946
918	44334	3907
919	44388	3859
920	44434	3811
921	44479	3762
922	44524	3714
923	44569	3665
924	44623	3618
925	44668	3569
926	44713	3521
927	44758	3472
928	44803	3424
929	44849	3375
930	44896	3327
931	44941	3278
932	44987	3230
933	45032	3182
934	45078	3133
935	45122	3085
936	45168	3036
937	45213	2988
938	45259	2940
939	45307	2891
940	45353	2843
941	45398	2795
942	45445	2746
943	45490	2698
944	45535	2650
945	45580	2601
946	45625	2553
947	45670	2505
948	45716	2456
949	45761	2408
950	45806	2360
951	45851	2311
952	45897	2263
953	45942	2215
954	45986	2166
955	46031	2118
956	46076	2070
957	46123	2022
958	46167	1973
959	46213	1925
960	46258	1877
961	46305	1829
962	46350	1780
963	46395	1732
964	46440	1684
965	46485	1636
966	46531	1587
967	46576	1539
968	46622	1491
969	46666	1443
970	46711	1395
971	46757	1346
972	46801	1298
973	46846	1250
974	46892	1202
975	46938	1154
976	46983	1106
977	47027	1057
978	47073	1009
979	47118	961
980	47163	913
981	47208	865
982	47254	817
983	47304	769
984	47350	721
985	47395	672
986	47451	624
987	47496	576
988	47540	528
989	47589	480
990	47637	432
991	47682	384
992	47727	336
993	47772	288
994	47817	240
995	47862	192
996	47908	144
997	47952	96
998	47998	48
999	48043	0
